Residuos No peligrosos de las e-DMAs E-PRTR 2008;;;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;LER;Descripción LER;7 tablas;Tipo Residuo;Cantidad;Unidad
2008;B01123595;AVICOLA ARBARAITZ;0100001582;AVICOLA ARBARAITZ S.L.;Asparrena;020106;Heces de animales, orina y estiércol (incluida paja podrida) y efluentes recogidos selectivamente y tratados fuera del lugar donde se generan;-//D5//-//-//-//-//-;No Peligroso;1123760;KG
2008;B01123595;AVICOLA ARBARAITZ;0100001582;AVICOLA ARBARAITZ S.L.;Asparrena;200139;Plásticos;R13;No Peligroso;890;KG
2008;B01123595;AVICOLA ARBARAITZ;0100001582;AVICOLA ARBARAITZ S.L.;Asparrena;020102;Residuos de tejidos de animales;R13;No Peligroso;12994;KG
2008;B01123595;AVICOLA ARBARAITZ;0100001582;AVICOLA ARBARAITZ S.L.;Asparrena;020199;Residuos no especificados en otra categoría;D5;No Peligroso;97920;KG
2008;V01024058;AVICOLA TOLOSA SAT;0100001390;AVICOLA TOLOSA S.A.T.;Asparrena;150101;Envases de papel y cartón;R13;No Peligroso;5735;KG
2008;V01024058;AVICOLA TOLOSA SAT;0100001390;AVICOLA TOLOSA S.A.T.;Asparrena;020106;Heces de animales, orina y estiércol (incluida paja podrida) y efluentes recogidos selectivamente y tratados fuera del lugar donde se generan;D5;No Peligroso;6321000;KG
2008;V01024058;AVICOLA TOLOSA SAT;0100001390;AVICOLA TOLOSA S.A.T.;Asparrena;030301;Residuos de corteza y madera;R13;No Peligroso;2000;KG
2008;V01024058;AVICOLA TOLOSA SAT;0100001390;AVICOLA TOLOSA S.A.T.;Asparrena;070213;Residuos de plástico;R13;No Peligroso;1920;KG
2008;V01024058;AVICOLA TOLOSA SAT;0100001390;AVICOLA TOLOSA S.A.T.;Asparrena;020499;Residuos no especificados en otra categoría;D5;No Peligroso;11672;KG
2008;A01132091;BGB GIOVANNI BOZZETTO;0100001109;BGB GIOVANNI BOZZETTO;Lantarón;150102;Envases de plástico;R13;No Peligroso;14;KG
2008;A01132091;BGB GIOVANNI BOZZETTO;0100001109;BGB GIOVANNI BOZZETTO;Lantarón;190805;Lodos del tratamiento de aguas residuales urbanas;R13;No Peligroso;6500;KG
2008;A01132091;BGB GIOVANNI BOZZETTO;0100001109;BGB GIOVANNI BOZZETTO;Lantarón;070112;Lodos del tratamiento in situ de efluentes, distintos de los especificados en el código 07 01 11;D5;No Peligroso;3013278;KG
2008;A01132091;BGB GIOVANNI BOZZETTO;0100001109;BGB GIOVANNI BOZZETTO;Lantarón;200138;Madera distinta de la especificada en el código 20 01 37;R13;No Peligroso;300;KG
2008;A01132091;BGB GIOVANNI BOZZETTO;0100001109;BGB GIOVANNI BOZZETTO;Lantarón;200101;Papel y cartón;R13;No Peligroso;150;KG
2008;A01132091;BGB GIOVANNI BOZZETTO;0100001109;BGB GIOVANNI BOZZETTO;Lantarón;080318;Residuos de tóner de impresión, distintos de los especificados en el código 08 03 17;R13;No Peligroso;1;KG
2008;B01415694;BIONOR BERANTEVILLA;0100012609;Bionor Berantevilla;Berantevilla;170201;Madera;R13;No Peligroso;150;KG
2008;B01415694;BIONOR BERANTEVILLA;0100012609;Bionor Berantevilla;Berantevilla;200301;Mezclas de residuos municipales;D5;No Peligroso;245;KG
2008;B01415694;BIONOR BERANTEVILLA;0100012609;Bionor Berantevilla;Berantevilla;191201;Papel y cartón;R13;No Peligroso;50;KG
2008;A01141886;CASTINOX;0100000515;CASTINOX S.A;Amurrio;150101;Envases de papel y cartón;R13;No Peligroso;3200;KG
2008;A01129303;CELAYA EMPARANZA Y GALDOS INTERNACIONAL S.A.;0100000340;CEGASA;Vitoria-Gasteiz;170201;Madera;R13;No Peligroso;104800;KG
2008;A01129303;CELAYA EMPARANZA Y GALDOS INTERNACIONAL S.A.;0100000340;CEGASA;Vitoria-Gasteiz;191203;Metales no férreos;R13;No Peligroso;282700;KG
2008;A01129303;CELAYA EMPARANZA Y GALDOS INTERNACIONAL S.A.;0100000340;CEGASA;Vitoria-Gasteiz;191201;Papel y cartón;R3;No Peligroso;74000;KG
2008;A01129303;CELAYA EMPARANZA Y GALDOS INTERNACIONAL S.A.;0100000340;CEGASA;Vitoria-Gasteiz;160119;Plástico;R13;No Peligroso;31900;KG
2008;A01129303;CELAYA EMPARANZA Y GALDOS INTERNACIONAL S.A.;0100000340;CEGASA;Vitoria-Gasteiz;170404;Zinc;R13;No Peligroso;262900;KG
2008;B01002971;COMPAÑIA DE BEBIDAS PEPSICO;0100002258;COMPAÑIA DE BEBIDAS PEPSICO S.L.;Zigoitia;160214;Equipos desechados distintos de los especificados en los códigos 16 02 09 a 16 02 13;R13;No Peligroso;240;KG
2008;B01002971;COMPAÑIA DE BEBIDAS PEPSICO;0100002258;COMPAÑIA DE BEBIDAS PEPSICO S.L.;Zigoitia;020705;Lodos del tratamiento in situ de efluentes;R3;No Peligroso;1436290;KG
2008;B01002971;COMPAÑIA DE BEBIDAS PEPSICO;0100002258;COMPAÑIA DE BEBIDAS PEPSICO S.L.;Zigoitia;200138;Madera distinta de la especificada en el código 20 01 37;R13;No Peligroso;215520;KG
2008;B01002971;COMPAÑIA DE BEBIDAS PEPSICO;0100002258;COMPAÑIA DE BEBIDAS PEPSICO S.L.;Zigoitia;020704;Materiales inadecuados para el consumo o la elaboración;R13;No Peligroso;232040;KG
2008;B01002971;COMPAÑIA DE BEBIDAS PEPSICO;0100002258;COMPAÑIA DE BEBIDAS PEPSICO S.L.;Zigoitia;200140;Metales;R13;No Peligroso;60380;KG
2008;B01002971;COMPAÑIA DE BEBIDAS PEPSICO;0100002258;COMPAÑIA DE BEBIDAS PEPSICO S.L.;Zigoitia;200101;Papel y cartón;R13;No Peligroso;458810;KG
2008;B01002971;COMPAÑIA DE BEBIDAS PEPSICO;0100002258;COMPAÑIA DE BEBIDAS PEPSICO S.L.;Zigoitia;200139;Plásticos;R13;No Peligroso;260485;KG
2008;B01002971;COMPAÑIA DE BEBIDAS PEPSICO;0100002258;COMPAÑIA DE BEBIDAS PEPSICO S.L.;Zigoitia;020799;Residuos no especificados en otra categoría;D8;No Peligroso;153970;KG
2008;B01002971;COMPAÑIA DE BEBIDAS PEPSICO;0100002258;COMPAÑIA DE BEBIDAS PEPSICO S.L.;Zigoitia;190905;Resinas intercambiadoras de iones saturadas o usadas;D1;No Peligroso;6990;KG
2008;B01002971;COMPAÑIA DE BEBIDAS PEPSICO;0100002258;COMPAÑIA DE BEBIDAS PEPSICO S.L.;Zigoitia;170504;Tierra y piedras distintas de las especificadas en el código 17 05 03;R11;No Peligroso;30780;KG
2008;B01002971;COMPAÑIA DE BEBIDAS PEPSICO;0100002258;COMPAÑIA DE BEBIDAS PEPSICO S.L.;Zigoitia;170504;Tierra y piedras distintas de las especificadas en el código 17 05 03;R11;No Peligroso;21080;KG
2008;B01002971;COMPAÑIA DE BEBIDAS PEPSICO;0100002258;COMPAÑIA DE BEBIDAS PEPSICO S.L.;Zigoitia;200102;Vidrio;R13;No Peligroso;891380;KG
2008;A01156942;CONDESA FABRIL, S.A.;0100000394;CONDESA FABRIL, S.A.;Legutiano;150103;Envases de madera;R13;No Peligroso;30680;KG
2008;A01156942;CONDESA FABRIL, S.A.;0100000394;CONDESA FABRIL, S.A.;Legutiano;150101;Envases de papel y cartón;R13;No Peligroso;12600;KG
2008;A01156942;CONDESA FABRIL, S.A.;0100000394;CONDESA FABRIL, S.A.;Legutiano;150102;Envases de plástico;R13;No Peligroso;2990;KG
2008;A01156942;CONDESA FABRIL, S.A.;0100000394;CONDESA FABRIL, S.A.;Legutiano;200304;Lodos de fosas sépticas;R13;No Peligroso;47080;KG
2008;A01156942;CONDESA FABRIL, S.A.;0100000394;CONDESA FABRIL, S.A.;Legutiano;190814;Lodos procedentes de otros tratamientos de aguas residuales industriales, distintos de los especificados en el código 19 08 13;R13;No Peligroso;14000;KG
2008;A01156942;CONDESA FABRIL, S.A.;0100000394;CONDESA FABRIL, S.A.;Legutiano;191001;Residuos de hierro y acero;R4;No Peligroso;1290241;KG
2008;A48045900;DEGUISA;0100000543;DEGUISA, S.A;Amurrio;170405;Hierro y acero;R13;No Peligroso;9680;KG
2008;A48045900;DEGUISA;0100000543;DEGUISA, S.A;Amurrio;170201;Madera;R13;No Peligroso;5440;KG
2008;A48045900;DEGUISA;0100000543;DEGUISA, S.A;Amurrio;200138;Madera distinta de la especificada en el código 20 01 37;R13;No Peligroso;9120;KG
2008;A48045900;DEGUISA;0100000543;DEGUISA, S.A;Amurrio;200101;Papel y cartón;R13;No Peligroso;6120;KG
2008;A48045900;DEGUISA;0100000543;DEGUISA, S.A;Amurrio;191204;Plástico y caucho;R13;No Peligroso;1152,13;KG
2008;A48045900;DEGUISA;0100000543;DEGUISA, S.A;Amurrio;101208;Residuos de cerámica, ladrillos, tejas y materiales de construcción (después del proceso de cocción);D5;No Peligroso;308360;KG
2008;A01169523;DEKITRA;0100002521;DEKITRA;Lantarón;200304;Lodos de fosas sépticas;D8;No Peligroso;0;KG
2008;A01169523;DEKITRA;0100002521;DEKITRA;Lantarón;200304;Lodos de fosas sépticas;D8;No Peligroso;0;KG
2008;A01169523;DEKITRA;0100002521;DEKITRA;Lantarón;060503;Lodos del tratamiento in situ de efluentes, distintos de los mencionados en el código 06 05 02;D5;No Peligroso;352040;KG
2008;A01169523;DEKITRA;0100002521;DEKITRA;Lantarón;060503;Lodos del tratamiento in situ de efluentes, distintos de los mencionados en el código 06 05 02;D5;No Peligroso;352040;KG
2008;A01169523;DEKITRA;0100002521;DEKITRA;Lantarón;191201;Papel y cartón;R13;No Peligroso;4650,3;KG
2008;A01169523;DEKITRA;0100002521;DEKITRA;Lantarón;191201;Papel y cartón;R13;No Peligroso;4650,3;KG
2008;A01169523;DEKITRA;0100002521;DEKITRA;Lantarón;020104;Residuos de plásticos (excepto embalajes);R13;No Peligroso;88729,7;KG
2008;A01169523;DEKITRA;0100002521;DEKITRA;Lantarón;020104;Residuos de plásticos (excepto embalajes);R13;No Peligroso;88729,7;KG
2008;A01169523;DEKITRA;0100002521;DEKITRA;Lantarón;010499;Residuos no especificados en otra categoría;R13;No Peligroso;57280;KG
2008;A01169523;DEKITRA;0100002521;DEKITRA;Lantarón;010499;Residuos no especificados en otra categoría;R13;No Peligroso;57280;KG
2008;B01225325;ECN CABLE GROUP;0100002259;ECN CABLE GROUP;Vitoria-Gasteiz;170411;Cables distintos de los especificados en el código 17 04 10;R3;No Peligroso;604551;KG
2008;B01225325;ECN CABLE GROUP;0100002259;ECN CABLE GROUP;Vitoria-Gasteiz;150102;Envases de plástico;R13;No Peligroso;2736;KG
2008;B01225325;ECN CABLE GROUP;0100002259;ECN CABLE GROUP;Vitoria-Gasteiz;120101;Limaduras y virutas de metales férreos;R4;No Peligroso;602840;KG
2008;B01225325;ECN CABLE GROUP;0100002259;ECN CABLE GROUP;Vitoria-Gasteiz;120117;Residuos de granallado o chorreado distintos de los especificados en el código 12 01 16;R13;No Peligroso;3530;KG
2008;B01225325;ECN CABLE GROUP;0100002259;ECN CABLE GROUP;Vitoria-Gasteiz;070213;Residuos de plástico;R3;No Peligroso;7720;KG
2008;P0106800F;AYUNTAMIENTO DE VITORIA-GASTEIZ;0100012821;EDAR DE CRISPIJANA;Vitoria-Gasteiz;190805;Lodos del tratamiento de aguas residuales urbanas;R13;No Peligroso;16619800;KG
2008;P0106800F;AYUNTAMIENTO DE VITORIA-GASTEIZ;0100012821;EDAR DE CRISPIJANA;Vitoria-Gasteiz;190899;Residuos no especificados en otra categoría;R13;No Peligroso;1779700;KG
2008;A01038025;ELECTROCROMO;0100008824;ELECTROCROMO;Vitoria-Gasteiz;200138;Madera distinta de la especificada en el código 20 01 37;D5;No Peligroso;508;KG
2008;A01038025;ELECTROCROMO;0100008824;ELECTROCROMO;Vitoria-Gasteiz;160117;Metales ferrosos;-//D5//-//-//-//-//-;No Peligroso;360;KG
2008;A01038025;ELECTROCROMO;0100008824;ELECTROCROMO;Vitoria-Gasteiz;160118;Metales no ferrosos;-//D5//-//-//-//-//-;No Peligroso;237;KG
2008;A01038025;ELECTROCROMO;0100008824;ELECTROCROMO;Vitoria-Gasteiz;120199;Residuos no especificados en otra categoría;D5;No Peligroso;10000;KG
2008;B01388826;ENERGYWORKS VIT-VALL;0100002152;EnergyWorks Vitoria;Vitoria-Gasteiz;150102;Envases de plástico;R13;No Peligroso;780;KG
2008;B01388826;ENERGYWORKS VIT-VALL;0100002152;EnergyWorks Vitoria;Vitoria-Gasteiz;200135;Equipos eléctricos y electrónicos desechados, distintos de los especificados en los códigos 20 01 21 y 20 01 23, que contienen componentes peligrosos;R13;No Peligroso;720;KG
2008;B01388826;ENERGYWORKS VIT-VALL;0100002152;EnergyWorks Vitoria;Vitoria-Gasteiz;191201;Papel y cartón;R13;No Peligroso;360;KG
2008;B01388826;ENERGYWORKS VIT-VALL;0100002152;EnergyWorks Vitoria;Vitoria-Gasteiz;030301;Residuos de corteza y madera;R13;No Peligroso;420;KG
2008;B01388826;ENERGYWORKS VIT-VALL;0100002152;EnergyWorks Vitoria;Vitoria-Gasteiz;080313;Residuos de tintas distintos de los especificados en el código 08 03 12;R13;No Peligroso;24;KG
2008;B01388826;ENERGYWORKS VIT-VALL;0100002152;EnergyWorks Vitoria;Vitoria-Gasteiz;080318;Residuos de tóner de impresión, distintos de los especificados en el código 08 03 17;R13;No Peligroso;11,5;KG
2008;B01388826;ENERGYWORKS VIT-VALL;0100002152;EnergyWorks Vitoria;Vitoria-Gasteiz;170904;Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03;R13;No Peligroso;15120;KG
2008;B01047794;ETXISUA;0100001467;ETXISUA;Elburgo/Burgelu;150106;Envases mixtos;R13;No Peligroso;240;KG
2008;B01047794;ETXISUA;0100001467;ETXISUA;Elburgo/Burgelu;020106;Heces de animales, orina y estiércol (incluida paja podrida) y efluentes recogidos selectivamente y tratados fuera del lugar donde se generan;R13;No Peligroso;0;KG
2008;B01047794;ETXISUA;0100001467;ETXISUA;Elburgo/Burgelu;020102;Residuos de tejidos de animales;R13;No Peligroso;6000;KG
2008;B01047794;ETXISUA;0100001467;ETXISUA;Elburgo/Burgelu;130899;Residuos no especificados en otra categoría;R13;No Peligroso;288;KG
2008;B01047794;ETXISUA;0100001467;ETXISUA;Elburgo/Burgelu;200121;Tubos fluorescentes y otros residuos que contienen mercurio;R13;No Peligroso;20;KG
2008;A01012228;EVONIK SILQUIMICA;0100000575;EVONIK SILQUIMICA;Lantarón;200304;Lodos de fosas sépticas;D2;No Peligroso;50850;KG
2008;A01012228;EVONIK SILQUIMICA;0100000575;EVONIK SILQUIMICA;Lantarón;200138;Madera distinta de la especificada en el código 20 01 37;R3;No Peligroso;10640;KG
2008;A01012228;EVONIK SILQUIMICA;0100000575;EVONIK SILQUIMICA;Lantarón;200140;Metales;R4;No Peligroso;6660;KG
2008;A01012228;EVONIK SILQUIMICA;0100000575;EVONIK SILQUIMICA;Lantarón;200301;Mezclas de residuos municipales;D5;No Peligroso;620;KG
2008;A01012228;EVONIK SILQUIMICA;0100000575;EVONIK SILQUIMICA;Lantarón;200101;Papel y cartón;R3;No Peligroso;4980;KG
