Residuos Urbanos de las e-DMAs E-PRTR 2008;;;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;LER;Descripción LER;7 tablas;Tipo Residuo;Cantidad;Unidad
2008;B01218932;CELSA ATLANTIC;0100000240;LAMINACIONES ARREGUI, S.L.;Vitoria-Gasteiz;200301;Mezclas de residuos municipales;D5;Urbano;92040;KG
2008;B01218932;CELSA ATLANTIC;0100000240;LAMINACIONES ARREGUI, S.L.;Vitoria-Gasteiz;200101;Papel y cartón;R13;Urbano;17560;KG
2008;A01000249;LASCARAY;0100000202;LASCARAY;Vitoria-Gasteiz;110302;Otros residuos;-//D1//-//-//-//-//-;Urbano;9100;KG
2008;B01418953;LITOGRAFIA ALAVESA, S.L.;0100000489;LITOGRAFIA ALAVESA - LITALSA;Oyón-Oion;200399;Residuos municipales no especificados en otra categoría;R13;Urbano;1000;KG
2008;A79380465;MERCEDES-BENZ ESPAÑA;0100002539;MERCEDES-BENZ ESPAÑA, S.A.;Vitoria-Gasteiz;200301;Mezclas de residuos municipales;D1;Urbano;405080;KG
2008;A20003570;MICHELIN ESPAÑA PORTUGAL;0100002478;MICHELIN ESPAÑA PORTUGAL-FABRICA DE VITORIA;Vitoria-Gasteiz;200125;Aceites y grasas comestibles;R13;Urbano;580;KG
2008;A20003570;MICHELIN ESPAÑA PORTUGAL;0100002478;MICHELIN ESPAÑA PORTUGAL-FABRICA DE VITORIA;Vitoria-Gasteiz;150106;Envases mixtos;R13;Urbano;18620;KG
2008;A20003570;MICHELIN ESPAÑA PORTUGAL;0100002478;MICHELIN ESPAÑA PORTUGAL-FABRICA DE VITORIA;Vitoria-Gasteiz;200304;Lodos de fosas sépticas;R13;Urbano;135080;KG
2008;A20003570;MICHELIN ESPAÑA PORTUGAL;0100002478;MICHELIN ESPAÑA PORTUGAL-FABRICA DE VITORIA;Vitoria-Gasteiz;200301;Mezclas de residuos municipales;R13;Urbano;931730;KG
2008;A20003570;MICHELIN ESPAÑA PORTUGAL;0100002478;MICHELIN ESPAÑA PORTUGAL-FABRICA DE VITORIA;Vitoria-Gasteiz;200399;Residuos municipales no especificados en otra categoría;R13;Urbano;116630;KG
