Contaminantes al AIRE de las e-DMAs E-PRTR ejercicio 2008 (Sumatorio cantidad por Contaminante);;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;Tipo;Contaminante;Descripción;Cod PRTR;Cantidad KG/Año
2008;A01129303;CELAYA EMPARANZA Y GALDOS INTERNACIONAL S.A.;2000000133;CELAYA EMPARANZA Y GALDOS INTERNACIONAL S.A (OÑATI);Oñati;Aire;030403;MONOXIDO DE CARBONO;2;4278
2008;B20879680;CORRUGADOS AZPEITIA;2000000168;CORRUGADOS AZPEITIA;Azpeitia;Aire;020101;CADMIO Y SUS COMPUESTOS;18;16,54
2008;B20879680;CORRUGADOS AZPEITIA;2000000168;CORRUGADOS AZPEITIA;Azpeitia;Aire;050107;PCDD + PCDF (DIOXINAS + FURANOS);47;0,0002
2008;B20879680;CORRUGADOS AZPEITIA;2000000168;CORRUGADOS AZPEITIA;Azpeitia;Aire;030208;FLUOR Y COMPUESTOS INORGÁNICOS (HF);84;2400,29
2008;A48565469;PAPRESA;2000000109;PAPRESA;Errenteria;Aire;040404;NMVOC (COMPUESTOS ORGÁNICOS VOLÁTILES NO METÁNICOS);7;8757,5
2008;A48565469;PAPRESA;2000000109;PAPRESA;Errenteria;Aire;060101;PM10 (PARTÍCULAS SUSPENDIDAS FRACCIÓN RESPIRABLE);86;0
2008;A20022828;TS FUNDICIONES;2000017917;TS ARROA;Zestoa;Aire;010000;PARTICULAS SOLIDAS INERTES;(null);127717,4
2008;A20022828;TS FUNDICIONES;2000017917;TS ARROA;Zestoa;Aire;030403;MONOXIDO DE CARBONO;2;7346,424
2008;A20022828;TS FUNDICIONES;2000017917;TS ARROA;Zestoa;Aire;030203;ACIDO CIANHIDRICO;85;668,546
2008;A20789947;FUNDICIONES WIND ENERGY CASTINH;2000018262;FUNDICIONES WIND ENERGY CASTINH (WEC I de Deba);Deba;Aire;040143;COMPUESTOS ORGANICOS VOLATILES;(null);0
2008;B83432930;WILLET CINCUENTA;2000019185;WILLET CINCUENTA, S.L.;Andoain;Aire;030404;DIOXIDO DE CARBONO;3;72163,3
2008;F20025292;FAGOR EDERLAN;2000019815;MARKULETEKO BURDINA GALDATEGIA;Arrasate/Mondragón;Aire;080000;PARTÍCULAS SÓLIDAS;(null);4638
2008;F20025292;FAGOR EDERLAN;2000019815;MARKULETEKO BURDINA GALDATEGIA;Arrasate/Mondragón;Aire;040404;NMVOC (COMPUESTOS ORGÁNICOS VOLÁTILES NO METÁNICOS);7;39,5
2008;F20025292;FAGOR EDERLAN;2000019815;MARKULETEKO BURDINA GALDATEGIA;Arrasate/Mondragón;Aire;070105;METANO;1;11,1
2008;B48934038;BEFESA ALUMINIO BILBAO;4800000020;BEFESA ALUMINIO BILBAO;Erandio;Aire;010000;PARTICULAS SOLIDAS INERTES;(null);5417
2008;B48934038;BEFESA ALUMINIO BILBAO;4800000020;BEFESA ALUMINIO BILBAO;Erandio;Aire;020306;COBRE Y SUS COMPUESTOS;20;2,2
2008;B48934038;BEFESA ALUMINIO BILBAO;4800000020;BEFESA ALUMINIO BILBAO;Erandio;Aire;030209;CLORO Y COMPUESTOS INORGÁNICOS (HCL);80;4173
2008;B48934038;BEFESA ALUMINIO BILBAO;4800000020;BEFESA ALUMINIO BILBAO;Erandio;Aire;040404;NMVOC (COMPUESTOS ORGÁNICOS VOLÁTILES NO METÁNICOS);7;1186,9
2008;A48147144;ALDETU;4800000077;ALDETU S.A;Lemoa;Aire;030404;DIOXIDO DE CARBONO;3;37971
2008;A48147144;ALDETU;4800000077;ALDETU S.A;Lemoa;Aire;030401;OXIDOS DE AZUFRE;11;193,7
2008;B20879680;CORRUGADOS AZPEITIA;2000000168;CORRUGADOS AZPEITIA;Azpeitia;Aire;020102;MERCURIO Y SUS COMPUESTOS;21;1,07
2008;A48063812;TALLERES FABIO MURGA;4800001461;TALLERES FABIO MURGA;Balmaseda;Aire;030207;AMONIACO;6;0,24
2008;A48435309;BILBAINA DE ALQUITRANES;4800001521;BILBAINA ALQUITRANES;Barakaldo;Aire;040152;TOXAFENO;59;0
2008;A48435309;BILBAINA DE ALQUITRANES;4800001521;BILBAINA ALQUITRANES;Barakaldo;Aire;040233;TRICLOROETILENO (TRI);57;0
2008;A48435309;BILBAINA DE ALQUITRANES;4800001521;BILBAINA ALQUITRANES;Barakaldo;Aire;030404;DIOXIDO DE CARBONO;3;16607231,6
2008;A48435309;BILBAINA DE ALQUITRANES;4800001521;BILBAINA ALQUITRANES;Barakaldo;Aire;040134;1,1-2,2-TETRACLOROETANO;56;0
2008;A48435309;BILBAINA DE ALQUITRANES;4800001521;BILBAINA ALQUITRANES;Barakaldo;Aire;020101;CADMIO Y SUS COMPUESTOS;18;0
2008;A48435309;BILBAINA DE ALQUITRANES;4800001521;BILBAINA ALQUITRANES;Barakaldo;Aire;040148;DIELDRINA;36;0
2008;A48435309;BILBAINA DE ALQUITRANES;4800001521;BILBAINA ALQUITRANES;Barakaldo;Aire;050106;HIDROCARBUROS AROMÁTICOS POLICÍCLICOS (PAH);72;0
2008;A48061485;VIDRIERIA Y CRISTALERIA DE LAMIACO;4800001505;Vidriería y Cristalería de Lamiaco S.A.;Leioa;Aire;030402;OXIDOS DE NITROGENO;8;120004,03
2008;A48061485;VIDRIERIA Y CRISTALERIA DE LAMIACO;4800001505;Vidriería y Cristalería de Lamiaco S.A.;Leioa;Aire;030208;FLUOR Y COMPUESTOS INORGÁNICOS (HF);84;179
2008;A28381473;ARKEMA QUIMICA;4800001391;ARKEMA QUIMICA, S.A. - ALONSOTEGI;Alonsotegi;Aire;030202;CLORO;(null);0
2008;A28381473;ARKEMA QUIMICA;4800001391;ARKEMA QUIMICA, S.A. - ALONSOTEGI;Alonsotegi;Aire;030404;DIOXIDO DE CARBONO;3;4005520
2008;B48969877;BAHIA DE BIZKAIA ELECTRICIDAD;4800001434;BAHIA DE BIZKAIA ELECTRICIDAD;Zierbena;Aire;040403;HEXACLOROBENCENO (HCB);42;0
2008;B95510046;ILARDUYA PRODUCTOS DE FUNDICION, S.L.U.;4800001443;ILARDUYA;Amorebieta-Etxano;Aire;040404;NMVOC (COMPUESTOS ORGÁNICOS VOLÁTILES NO METÁNICOS);7;5938,4
2008;A48663546;ACEROS INOXIDABLES OLARRA;4800001446;ACEROS INOXIDABLES OLARRA;Loiu;Aire;030402;OXIDOS DE NITROGENO;8;147564,414
2008;A48663546;ACEROS INOXIDABLES OLARRA;4800001446;ACEROS INOXIDABLES OLARRA;Loiu;Aire;030209;CLORO Y COMPUESTOS INORGÁNICOS (HCL);80;2989,312
2008;A48663546;ACEROS INOXIDABLES OLARRA;4800001446;ACEROS INOXIDABLES OLARRA;Loiu;Aire;030208;FLUOR Y COMPUESTOS INORGÁNICOS (HF);84;559,387
2008;A80250558;LEAF BUSINESS HOLDINGS SPAIN;4800001522;OUTOKUMPU - LEAF BUSINESS HOLDINGS SPAIN;Zaratamo;Aire;040404;NMVOC (COMPUESTOS ORGÁNICOS VOLÁTILES NO METÁNICOS);7;7773,95
2008;A80250558;LEAF BUSINESS HOLDINGS SPAIN;4800001522;OUTOKUMPU - LEAF BUSINESS HOLDINGS SPAIN;Zaratamo;Aire;030404;DIOXIDO DE CARBONO;3;9702514,9
2008;A48018170;JESUS OÑATE Y HERMANOS;4800001557;JESUS OÑATE Y HERMANOS, S.A;Durango;Aire;030403;MONOXIDO DE CARBONO;2;113,07
2008;A48018170;JESUS OÑATE Y HERMANOS;4800001557;JESUS OÑATE Y HERMANOS, S.A;Durango;Aire;040404;NMVOC (COMPUESTOS ORGÁNICOS VOLÁTILES NO METÁNICOS);7;108,348
2008;A48064521;FUNDICIONES GARBI;4800001566;FUNDICIONES GARBI;Abadiño;Aire;030203;ACIDO CIANHIDRICO;85;166
2008;A48064521;FUNDICIONES GARBI;4800001566;FUNDICIONES GARBI;Abadiño;Aire;070105;METANO;1;6,344
2008;A48064521;FUNDICIONES GARBI;4800001566;FUNDICIONES GARBI;Abadiño;Aire;070102;OXIDO NITROSO (N2O);5;4,5318
2008;F48010177;SEBERIA BILBAINA;4800001570;SEBERIA BILBAINA, S.COOP.;Barakaldo;Aire;040404;NMVOC (COMPUESTOS ORGÁNICOS VOLÁTILES NO METÁNICOS);7;19,16
2008;A48280192;BETSAIDE;4800001579;BETSAIDE;Elorrio;Aire;040143;COMPUESTOS ORGANICOS VOLATILES;(null);21090
2008;A20034567;CINTAS ADHESIVAS UBIS;2000000716;CINTAS ADHESIVAS UBIS, S.A;Hernani;Aire;070105;METANO;1;166,6
2008;A01038074;EKONOR;2000001048;EKONOR-PLANTA DE ADUNA;Aduna;Aire;080000;PARTÍCULAS SÓLIDAS;(null);1,58
2008;A01038074;EKONOR;2000001048;EKONOR-PLANTA DE ADUNA;Aduna;Aire;030206;ACIDO CLORHIDRICO;(null);0
2008;A20098976;INDUSTRIAS SEUR;2000004574;INDUSTRIAS SEUR;Hernani;Aire;010000;PARTICULAS SOLIDAS INERTES;(null);58
2008;A20098976;INDUSTRIAS SEUR;2000004574;INDUSTRIAS SEUR;Hernani;Aire;070105;METANO;1;24,28
2008;B01292903;SIDENOR INDUSTRIAL;2000004628;GERDAU SIDENOR LEGAZPI;Legazpi;Aire;050107;PCDD + PCDF (DIOXINAS + FURANOS);47;0,00007839
2008;B01292903;SIDENOR INDUSTRIAL;2000004628;GERDAU SIDENOR LEGAZPI;Legazpi;Aire;040157;PCB;50;0,000018
2008;B01292903;SIDENOR INDUSTRIAL;2000004628;GERDAU SIDENOR LEGAZPI;Legazpi;Aire;060100;OTRAS PARTÍCULAS;(null);7585,47
2008;B01292903;SIDENOR INDUSTRIAL;2000004629;SIDENOR INDUSTRIAL, S.L. (Azkoitia);Azkoitia;Aire;030401;OXIDOS DE AZUFRE;11;0
2008;B01292903;SIDENOR INDUSTRIAL;2000004629;SIDENOR INDUSTRIAL, S.L. (Azkoitia);Azkoitia;Aire;010000;PARTICULAS SOLIDAS INERTES;(null);703719
2008;A58410176;SARRIOPAPEL Y CELULOSA;2000004709;SARRIO PAPEL -FACTORIA DE URANGA-;Berrobi;Aire;050302;BENCENO;62;0
2008;A58410176;SARRIOPAPEL Y CELULOSA;2000004709;SARRIO PAPEL -FACTORIA DE URANGA-;Berrobi;Aire;020306;COBRE Y SUS COMPUESTOS;20;0
2008;B20032330;OBE HETTICH;2000004738;OBE Hettich, S.L. en Comandita;Aizarnazabal;Aire;030403;MONOXIDO DE CARBONO;2;583,055
2008;B20032330;OBE HETTICH;2000004738;OBE Hettich, S.L. en Comandita;Aizarnazabal;Aire;030203;ACIDO CIANHIDRICO;85;2,209
2008;B20032330;OBE HETTICH;2000004738;OBE Hettich, S.L. en Comandita;Aizarnazabal;Aire;030208;FLUOR Y COMPUESTOS INORGÁNICOS (HF);84;182,3
2008;B20032330;OBE HETTICH;2000004738;OBE Hettich, S.L. en Comandita;Aizarnazabal;Aire;020312;ZINC Y SUS COMPUESTOS;24;28,7
