Residuos peligrosos de las e-DMAs E-PRTR 2008;;;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;LER;Descripción LER;7 tablas;Tipo Residuo;Cantidad;Unidad
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;160209;Transformadores y condensadores que contienen PCB;Q12//D15//SL-10//C32//H6/H7//A212//B00019;Peligroso;0;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;200121;Tubos fluorescentes y otros residuos que contienen mercurio;Q6//R13//S-40//C16//H6/H14//A212//B00019;Peligroso;0;KG
2008;A95078523;ACID REGENERATION SERVICE SPAIN I;0100005269;ACID REGENERATION SERVICE SPAIN I, S.A.;Vitoria-Gasteiz;150202;Absorbentes, materiales de filtración (incluidos los filtros de aceite no especificados en otra categoría), trapos de limpieza y ropas protectoras contaminados por sustancias peligrosas;Q9//R13//S-40//C28//H5//A944(1)//B00019;Peligroso;860;KG
2008;A95078523;ACID REGENERATION SERVICE SPAIN I;0100005269;ACID REGENERATION SERVICE SPAIN I, S.A.;Vitoria-Gasteiz;150202;Absorbentes, materiales de filtración (incluidos los filtros de aceite no especificados en otra categoría), trapos de limpieza y ropas protectoras contaminados por sustancias peligrosas;Q5//R13//S-40//C23/C51//H5//A944(1)//B00019;Peligroso;19;KG
2008;A95078523;ACID REGENERATION SERVICE SPAIN I;0100005269;ACID REGENERATION SERVICE SPAIN I, S.A.;Vitoria-Gasteiz;150202;Absorbentes, materiales de filtración (incluidos los filtros de aceite no especificados en otra categoría), trapos de limpieza y ropas protectoras contaminados por sustancias peligrosas;Q5//R13//S-40//C23/C51//H5//A944(1)//B00019;Peligroso;0;KG
2008;A95078523;ACID REGENERATION SERVICE SPAIN I;0100005269;ACID REGENERATION SERVICE SPAIN I, S.A.;Vitoria-Gasteiz;150202;Absorbentes, materiales de filtración (incluidos los filtros de aceite no especificados en otra categoría), trapos de limpieza y ropas protectoras contaminados por sustancias peligrosas;Q8//R13//S-25//C23//H5//A944(1)//B00019;Peligroso;100;KG
2008;A95078523;ACID REGENERATION SERVICE SPAIN I;0100005269;ACID REGENERATION SERVICE SPAIN I, S.A.;Vitoria-Gasteiz;150202;Absorbentes, materiales de filtración (incluidos los filtros de aceite no especificados en otra categoría), trapos de limpieza y ropas protectoras contaminados por sustancias peligrosas;Q5//R13//S-36//C23//H5//A944(1)//B00019;Peligroso;100;KG
2008;A95078523;ACID REGENERATION SERVICE SPAIN I;0100005269;ACID REGENERATION SERVICE SPAIN I, S.A.;Vitoria-Gasteiz;110105;Acidos de decapado;Q8//R6//L-27//C23//H8//A243//B03127;Peligroso;2869000;KG
2008;A95078523;ACID REGENERATION SERVICE SPAIN I;0100005269;ACID REGENERATION SERVICE SPAIN I, S.A.;Vitoria-Gasteiz;110106;Acidos no especificados en otra categoría;Q7//D9//P-27//C23//H8//A944(1)//B00019;Peligroso;31580;KG
2008;A95078523;ACID REGENERATION SERVICE SPAIN I;0100005269;ACID REGENERATION SERVICE SPAIN I, S.A.;Vitoria-Gasteiz;150110;Envases que contienen restos de sustancias peligrosas o están contaminados por ellas;Q5//R13//S-36//C41/C51//H5//A944(1)//B00019;Peligroso;6;KG
2008;A95078523;ACID REGENERATION SERVICE SPAIN I;0100005269;ACID REGENERATION SERVICE SPAIN I, S.A.;Vitoria-Gasteiz;150110;Envases que contienen restos de sustancias peligrosas o están contaminados por ellas;Q6//R13//S-35//C23//H5//A944(1)//B00019;Peligroso;2600;KG
2008;A95078523;ACID REGENERATION SERVICE SPAIN I;0100005269;ACID REGENERATION SERVICE SPAIN I, S.A.;Vitoria-Gasteiz;150110;Envases que contienen restos de sustancias peligrosas o están contaminados por ellas;Q5//D15//S-36//C23//H5//A944(1)//B00019;Peligroso;1;KG
2008;A95078523;ACID REGENERATION SERVICE SPAIN I;0100005269;ACID REGENERATION SERVICE SPAIN I, S.A.;Vitoria-Gasteiz;160504;Gases en recipientes a presión (incluidos los halones) que contienen sustancias peligrosas;Q6//R13//S-36//C41//H5/H3B//A944(1)//B00019;Peligroso;9;KG
2008;A95078523;ACID REGENERATION SERVICE SPAIN I;0100005269;ACID REGENERATION SERVICE SPAIN I, S.A.;Vitoria-Gasteiz;190211;Otros residuos que contienen sustancias peligrosas;Q8//D9//S-25//C23//H5//A944(1)//B00019;Peligroso;100000;KG
2008;A95078523;ACID REGENERATION SERVICE SPAIN I;0100005269;ACID REGENERATION SERVICE SPAIN I, S.A.;Vitoria-Gasteiz;160506;Productos químicos de laboratorio que consisten en, o contienen, sustancias peligrosas, incluidas las mezclas de productos químicos de laboratorio;Q16//R13//L-27//C16//H6//A944(1)//B00019;Peligroso;73;KG
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;150202;Absorbentes, materiales de filtración (incluidos los filtros de aceite no especificados en otra categoría), trapos de limpieza y ropas protectoras contaminados por sustancias peligrosas;Q5//D15//S-40//C41/C51//H5//A275//B00019;Peligroso;24700;KG
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;160601;Baterías de plomo;Q6//R13//S-37//C18/C23//H8//A275//B00019;Peligroso;160;KG
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;200133;Baterías y acumuladores especificados en los códigos 16 06 01, 16 06 02 o 16 06 03 y códigos 20 01 21 y 20 01 23, que contienen componentes peligrosos [6]baterías y acumuladores sin clasificar que contienen esas baterías;Q6//R13//S-37//C11/C16//H6//A275//B00019;Peligroso;100;KG
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;150110;Envases que contienen restos de sustancias peligrosas o están contaminados por ellas;Q5//R4//S-35//C41/C51//H5//A275//B00019;Peligroso;2440;KG
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;150110;Envases que contienen restos de sustancias peligrosas o están contaminados por ellas;Q5//R4//S-36//C41/C51//H5//A275//B00019;Peligroso;2620;KG
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;150110;Envases que contienen restos de sustancias peligrosas o están contaminados por ellas;Q5//R3//S-36//C24/C41//H5//A275//B00019;Peligroso;1760;KG
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;160213;Equipos desechados que contienen componentes peligrosos [2], distintos de los especificados en los códigos 16 02 09 y 16 02 12;Q14//R4//S-40//C6/C18//H6/H14//A275//B00019;Peligroso;3180;KG
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;160107;Filtros de aceite;Q6//R13//S-40//C51//H5//A275//B00019;Peligroso;120;KG
